district,label,title
Адмиралтейский,Адмиралтейский округ,Адмиралтейский округ
Адмиралтейский,Екатерингофский,Екатерингофский
Адмиралтейский,Измайловское,Измайловское (муниципальный округ)
Адмиралтейский,Коломна,Коломна (муниципальный округ)
Адмиралтейский,Семёновский,Семёновский (муниципальный округ)
Адмиралтейский,Сенной округ,Сенной округ
Василеостровский,Васильевский,Васильевский (муниципальный округ)
Василеостровский,Гавань,Гавань (муниципальный округ)
Василеостровский,Морской,Морской (муниципальный округ)
Василеостровский,Остров Декабристов,Остров Декабристов (муниципальный округ)
Василеостровский,№ 7,Муниципальный округ № 7
Выборгский,Сампсониевское,Сампсониевское
Выборгский,Светлановское,Светлановское
Выборгский,Сергиевское,Сергиевское (муниципальный округ)
Выборгский,Сосновское,Сосновское (муниципальный округ)
Выборгский,Суздальское,Суздальское (муниципальный округ)
Выборгский,Шувалово-Озерки,Шувалово-Озерки (муниципальный округ)
Выборгский,Левашово,Левашово (Санкт-Петербург)
Выборгский,Парголово,Парголово
Калининский,Академическое,"Академическое (муниципальный округ, Санкт-Петербург)"
Калининский,Гражданка,Гражданка (муниципальный округ)
Калининский,Пискарёвка,Пискарёвка (муниципальный округ)
Калининский,Прометей,Прометей (муниципальный округ)
Калининский,Северный,"Северный (муниципальный округ, Санкт-Петербург)"
Калининский,Финляндский округ,Финляндский округ
Калининский,№ 21,Муниципальный округ № 21
Кировский,Автово,Автово (муниципальный округ)
Кировский,Дачное,Дачное (муниципальный округ)
Кировский,Княжево,Княжево (муниципальный округ)
Кировский,Красненькая речка,Красненькая речка
Кировский,Морские ворота,Морские ворота (муниципальный округ)
Кировский,Нарвский округ,Нарвский округ
Кировский,Ульянка,Ульянка (муниципальный округ)
Колпинский,Колпино,Избранная статья
Колпинский,Металлострой,Металлострой
Колпинский,Петро-Славянка,Петро-Славянка
Колпинский,Понтонный,Понтонный
Колпинский,Сапёрный,Сапёрный (Санкт-Петербург)
Колпинский,Усть-Ижора,Усть-Ижора
Красногвардейский,Большая Охта,Большая Охта (муниципальный округ)
Красногвардейский,Малая Охта,Малая Охта (муниципальный округ)
Красногвардейский,Полюстрово,Полюстрово (муниципальный округ)
Красногвардейский,Пороховые,Пороховые (муниципальный округ)
Красногвардейский,Ржевка,Ржевка (муниципальный округ)
Красносельский,Горелово,Горелово (муниципальный округ)
Красносельский,Константиновское,Константиновское (муниципальный округ)
Красносельский,Сосновая Поляна,Сосновая Поляна (муниципальный округ)
Красносельский,Урицк,Урицк (муниципальный округ)
Красносельский,Юго-Запад,Юго-Запад (муниципальный округ)
Красносельский,Южно-Приморский,Южно-Приморский
Красносельский,Красное Село,Красное Село
Кронштадтский,Кронштадт,Кронштадт
Курортный,Зеленогорск,Хорошая статья
Курортный,Сестрорецк,Хорошая статья
Курортный,Белоостров,Белоостров
Курортный,Комарово,Комарово (Санкт-Петербург)
Курортный,Молодёжное,Молодёжное (Санкт-Петербург)
Курортный,Песочный,Песочный (Санкт-Петербург)
Курортный,Репино,Репино (Санкт-Петербург)
Курортный,Серово,Серово (Санкт-Петербург)
Курортный,Смолячково,Смолячково
Курортный,Солнечное,Солнечное (Санкт-Петербург)
Курортный,Ушково,Ушково (Санкт-Петербург)
Московский,Гагаринское,"Гагаринское (муниципальный округ, Санкт-Петербург)"
Московский,Звёздное,Звёздное (муниципальный округ)
Московский,Московская застава,Московская застава (муниципальный округ)
Московский,Новоизмайловское,Новоизмайловское
Московский,Пулковский меридиан,Пулковский меридиан (муниципальный округ)
Невский,Ивановский,Ивановский (муниципальный округ)
Невский,Народный,Народный
Невский,Невская застава,Невская застава (округ)
Невский,Невский округ,Невский округ
Невский,Обуховский,Обуховский (муниципальный округ)
Невский,Оккервиль,Оккервиль (муниципальный округ)
Невский,№ 54,Муниципальный округ № 54
Невский,Правобережный,Правобережный (муниципальный округ)
Невский,Рыбацкое,Рыбацкое (муниципальный округ)
Петроградский,Аптекарский остров,Аптекарский остров (муниципальный округ)
Петроградский,Введенский,Введенский (муниципальный округ)
Петроградский,Кронверкское,Кронверкское
Петроградский,округ Петровский,Округ Петровский
Петроградский,Посадский,Посадский (муниципальный округ)
Петроградский,Чкаловское,Чкаловское (муниципальный округ)
Петродворцовый,Ломоносов,Хорошая статья
Петродворцовый,Петергоф,Хорошая статья
Петродворцовый,Стрельна,Стрельна
Приморский,Коломяги,Коломяги (муниципальный округ)
Приморский,Комендантский аэродром,Комендантский аэродром (муниципальный округ)
Приморский,Ланское,Ланское
Приморский,Лахта-Ольгино,Лахта-Ольгино
Приморский,Озеро Долгое,Озеро Долгое (муниципальный округ)
Приморский,Юнтолово,Юнтолово (муниципальный округ) (страница отсутствует)
Приморский,№ 65,Муниципальный округ № 65
Приморский,Лисий Нос,Лисий Нос
Пушкинский,Пушкин,Избранная статья
Пушкинский,Павловск,Хорошая статья
Пушкинский,Александровская,Александровская (внутригородское муниципальное образование)
Пушкинский,Тярлево,Тярлево
Пушкинский,Шушары,Шушары
Фрунзенский,Александровский,"Александровский (муниципальный округ, Санкт-Петербург)"
Фрунзенский,Балканский,Балканский (муниципальный округ)
Фрунзенский,Волковское,Волковское (муниципальный округ)
Фрунзенский,Георгиевский,Георгиевский (муниципальный округ)
